baseDate,movingPath,pathSize,movingCount
20190801,걸매생태공원|칠십리공원_A|솔동산 문화의 거리|천지연폭포|칠십리공원_A,5,1
20190801,서귀북초등학교(동)|천지연폭포,2,1
20190801,서귀포매일올레시장|제주은행(북)|서귀포매일올레시장|이중섭거리|솔동산 문화의 거리|천지연폭포|서귀포매일올레시장|세계조가비박물관|제주월드컵경기장 서귀포버스터미널|청소년문화의집(북)|우리은행 서귀포점 인근 공영주차장|서귀포매일올레시장,12,1
20190801,서귀포전천후게이트볼장|세계조가비박물관|천지연폭포|제주월드컵경기장 서귀포버스터미널|마라해양도립공원|애월해안로|16코스(고내포구-항파두리-광령1리),7,1
20190801,외돌개|천지연폭포|제주은행(북)|아랑조을거리 공영주차장|7-1코스|세계조가비박물관|칠십리공원_A|세계조가비박물관|서귀포예술의전당|서귀포여자고등학교(북),10,1
20190801,월드컵경기장 대도로변 입구 매표소|칠십리공원_A|천지연폭포|칠십리공원_A,4,1
20190801,정방폭포(주차장)|정방폭포|칠십리 음식 특화거리|천지연폭포|솔동산 문화의 거리|천제연폭포|제주월드컵경기장 서귀포버스터미널|월드컵경기장 대도로변 입구 매표소,8,1
20190801,주상절리대(제1매표소)|8코스|주상절리대|천지연폭포|제주 중앙여자고등학교 버스정류소,5,1
20190801,천지동 아랑조을거리|자치경찰단 서귀포지역경찰대|칠십리 음식 특화거리|솔동산 문화의 거리|천지연폭포|삼아아파트|동미빌딩|제주은행(북)|동문로터리,9,1
20190801,천지연폭포|솔동산 문화의 거리|이중섭거리|서귀포매일올레시장|현대산부인과,5,1
20190801,천지연폭포|솔동산 문화의 거리|이중섭거리|제주은행(북)|서귀포매일올레시장|제주은행(북)|아랑조을거리 공영주차장,7,1
20190801,천지연폭포|제주월드컵경기장 서귀포버스터미널|플레이케이팝제주|중문관광단지,4,1
20190801,칠십리 음식 특화거리|천지연폭포|솔동산 문화의 거리|자치경찰단 서귀포지역경찰대|동문로터리|삼성초등학교|탐라장애인 종합복지관|삼성초등학교|조천읍4|삼성초등학교|삼성혈 문화의 거리|삼성초등학교|동문시장|삼성혈 문화의 거리|동문시장|동문로터리|삼성혈 문화의 거리|동문로터리|동문시장|동문로터리|영화의거리->산지천|삼성혈 문화의 거리|동문시장|삼성혈 문화의 거리|서부두 명품회집거리|삼성혈 문화의 거리|동문시장|삼성혈 문화의 거리|탑동 테마거리->중앙로|삼성혈 문화의 거리|동문시장|탑동 테마거리->중앙로|서부두 명품회집거리|동문시장|탑동입구|영화의거리->산지천|칠성로 쇼핑거리|삼성혈 문화의 거리|영화의거리->산지천|동문시장|칠성로 쇼핑거리|동문시장|동문로터리|동문시장|삼성혈 문화의 거리|서문가구거리|동문시장|삼성혈 문화의 거리|국수문화거리|동문시장|국수문화거리|삼성혈 문화의 거리|서문가구거리|삼성혈 문화의 거리|동문시장|삼성혈 문화의 거리|삼성초등학교|삼성혈 문화의 거리|동문시장|삼성혈 문화의 거리,60,1
20190801,칠십리 음식 특화거리|천지연폭포|천지동 아랑조을거리|천지연폭포|중문관광단지|중문·색달해변|중문관광단지|탑동 테마거리->중앙로|칠성로 쇼핑거리|동문시장|동문로터리|칠성로 쇼핑거리|동문시장|영화의거리->산지천|칠성로 쇼핑거리|동문로터리|동문시장|한국방송통신대학|영화의거리->산지천|탑동 테마거리->중앙로|칠성로 쇼핑거리|동문시장|탑동 테마거리->중앙로|탑동 테마거리|동문시장|탑동 테마거리|탑동 테마거리->중앙로|동문시장|탑동 테마거리->중앙로|탑동 테마거리|탑동 테마거리->중앙로,31,1
20190801,표선면6|성산포수협표선지점|천지연폭포|자치경찰단 서귀포지역경찰대|중앙공원|비석거리,6,1
20190801,마라해양도립공원|송악산|마라해양도립공원|발자국화석지관리사무소|사계 해안도로|사계 해변|발자국화석지관리사무소|사계 해변|산방산|건강과성박물관|안덕계곡|중문랜드|중문관광단지입구 (남)|믿거나말거나박물관|중문관광단지|천제연폭포|중문관광단지|8코스|주상절리대|아프리카박물관|서귀포여자고등학교(북)|백년초박물관|세계조가비박물관|칠십리공원_A|솔동산 문화의 거리|천지연폭포|칠십리 음식 특화거리|천지연폭포|정방폭포|정방폭포(주차장)|천지연폭포|칠십리 음식 특화거리|서복전시관|정방폭포(주차장)|하효 쇠소깍 해변|남원읍 공영주차장|표선해수욕장 주차장|광치기해변|성산포항 종합여객터미널(출발)|성산포항|성산포항 종합여객터미널(출발)|광치기해변,42,1
20190801,서귀포시외버스터미날|서귀포시청 1청사|천지연폭포|서귀포매일올레시장|서귀북초등학교(동),5,1
20190801,솔동산 문화의 거리|서귀북초등학교(동)|현대산부인과|청소년문화의집(북)|서귀포예술의전당|제주월드컵경기장 서귀포버스터미널|건강과성박물관|화순 금모래해변|안덕면2|안덕계곡|세리월드_동화속미로공원|서귀포여자고등학교(북)|백년초박물관|외돌개|천지연폭포|소암현중화기념관|삼아아파트|비석거리|산남새마을금고|천지동자원순환센터|우리은행 서귀포점 인근 공영주차장|아랑조을거리 공영주차장|솔동산 문화의 거리|현대산부인과|서귀포매일올레시장|중앙공원|현대산부인과|동미빌딩|제주은행(북),29,1
20190801,아쿠아플라넷|성산읍4|칠십리 음식 특화거리|천지연폭포,4,1
20190801,월드컵경기장 대도로변 입구 매표소|서귀포여자고등학교(북)|외돌개|천지연폭포|칠십리공원_A|세계조가비박물관|서귀포예술의전당|서귀포여자고등학교(북),8,1
20190801,제주국제공항|천지연폭포|서귀포매일올레시장|제주은행(북),4,1
20190801,"천지연폭포|자치경찰단 서귀포지역경찰대|솔동산 문화의 거리|천지연폭포|천지동자원순환센터|서귀포시 구 버스터미널|천지동자원순환센터|천지연폭포|산방산(용머리, 하멜상선)|중문랜드|중문관광단지입구 (남)|천제연폭포|외돌개|천지연폭포",14,1
20190801,천지연폭포|정방폭포|정방폭포(주차장)|서귀포매일올레시장|제주은행(북)|서귀포매일올레시장|이중섭거리|서귀포매일올레시장|매일올레시장주차장|우리은행 서귀포점 인근 공영주차장,10,1
20190801,천지연폭포|칠십리 음식 특화거리|정방폭포(주차장)|정방폭포|정방폭포(주차장)|현대산부인과|청소년문화의집(북)|우리은행 서귀포점 인근 공영주차장|서귀포매일올레시장|제주은행(북)|이중섭거리|제주은행(북)|서귀포매일올레시장|우리은행 서귀포점 인근 공영주차장,14,1
20190801,천지연폭포|칠십리공원_A|서귀포예술의전당|걸매생태공원,4,1
