baseDate,movingPath,pathSize,movingCount
20190801,토이파크|한라산국립공원,2,1
20190801,애월해안로|중문초등학교(북)|약천사|조안베어박물관|중문관광단지|플레이케이팝제주|믿거나말거나박물관|테디베어뮤지엄|천제연폭포|한라산국립공원|수목원테마파크|한라수목원|제주고등학교|제주한라대학교(아쉬람BD_CU)|정존마을|제주고등학교|애월읍3|제주한라대학교(아쉬람BD_CU)|제주고등학교|제주한라대학교(아쉬람BD_CU)|정존마을|애월읍3|애월해안로,23,1
20190801,한라수목원|한라산국립공원,2,1
20190801,한라산국립공원|탑동 테마거리->중앙로,2,1
20190801,함덕 서우봉 해변|한라산국립공원,2,1
20190801,제주고등학교|한라산국립공원|연동주민센터,3,1
20190801,신비의도로(도깨비도로)|한라산국립공원|제주시민회관|삼성혈 문화의 거리|국수문화거리|제주시민회관|국수문화거리|삼성혈 문화의 거리|삼성혈-3|제주시민회관|삼성혈 문화의 거리|삼성혈-3,12,1
20190802,한라산국립공원|빅볼랜드,2,1
20190802,한라산국립공원|신비의도로(도깨비도로)|중앙로터리|현대산부인과|청소년문화의집(북),5,1
20190802,한라산국립공원|제주고등학교|제주한라대학교(아쉬람BD_CU),3,1
20190802,삼무공원|한라산국립공원|중문관광단지|테디베어뮤지엄|믿거나말거나박물관|중문우체국|서귀포서부도서관|남서광마을|탐라장애인 종합복지관|남서광마을|남서광마을입구(남)|탐라장애인 종합복지관|삼성초등학교,13,1
20190802,노형오거리|한라산국립공원|노형근린공원|롯데마트|노형근린공원|노형오거리,6,1
20190802,관음사 휴게소|한라산국립공원|관음사 휴게소|제주대학교|제대아파트|제주대학교|제주도청,7,1
20190802,한라산국립공원|탑동입구|탑동 테마거리->중앙로|용문마을(서),4,1
20190802,용담공원|용담해안 카페촌거리|용담공원|이호테우해변|용담해안 카페촌거리|한라산국립공원|신비의도로(도깨비도로)|제주러브랜드|신비의도로(도깨비도로)|도두봉공원,10,1
20190802,삼무공원|한라산국립공원,2,1
20190802,탐라장애인 종합복지관|한라산국립공원|노형근린공원|방일리공원|제주고등학교|롯데마트|제주고등학교|원노형|노형오거리|노형근린공원|노형오거리|롯데마트|노형오거리|남녕고등학교(하와이오피스텔)|노형오거리|제주고등학교|노형오거리|롯데마트|남녕고등학교(하와이오피스텔)|제주고등학교|롯데마트|남녕고등학교(하와이오피스텔)|정부제주지방합동청사|아라초등학교|거로마을|아라초등학교|정부제주지방합동청사|노형오거리,28,1
20190802,제주대학교교육대학|한라산국립공원|삼무공원|신산공원|삼무공원,5,1
20190802,제주민속오일장|한라산국립공원,2,1
20190802,한라산국립공원|한마음공원,2,1
20190802,강창학경기장|한라산국립공원|제주월드컵경기장 서귀포버스터미널|월드컵경기장 대도로변 입구 매표소,4,1
20190802,한라산국립공원|케이티앤지|노형초등학교,3,1
20190803,플레이케이팝제주|믿거나말거나박물관|테디베어뮤지엄|믿거나말거나박물관|조안베어박물관|한라산국립공원|한라수목원,7,1
20190803,한라산국립공원|노형오거리|정존마을|케이티앤지|제주 중앙여자고등학교 버스정류소|케이티앤지|큰동네(버스),7,1
20190803,한라산국립공원|우령이 마을,2,1
20190803,안덕면3|동광 R 주차장|한라산국립공원,3,1
20190803,남녕고등학교(하와이오피스텔)|노형오거리|원노형|남녕고등학교(하와이오피스텔)|원노형|노형오거리|한라수목원|노형오거리|한라산국립공원|한라수목원|한라산국립공원|남녕고등학교(하와이오피스텔)|외도초등학교|외도동주민센터|외도초등학교,15,1
20190803,롯데마트|바오젠거리|롯데마트|한라산국립공원|남녕고등학교(하와이오피스텔),5,1
20190803,신비의도로(도깨비도로)|한라산국립공원|신비의도로(도깨비도로)|8코스|주상절리대|8코스|외돌개|천지연폭포,8,1
20190803,제주 중앙여자고등학교 버스정류소|함덕농협지소(북)|남서광마을|한라산국립공원,4,1
20190803,모구리야영장|한라산국립공원|모구리야영장,3,1
20190803,서귀포자연휴양림(관리동랙)|한라산국립공원|남녕고등학교(하와이오피스텔),3,1
20190803,비체올린|한라산국립공원|비체올린,3,1
20190803,노형근린공원|한라산국립공원|제주한라대학교(아쉬람BD_CU),3,1
20190803,비체올린|빅볼랜드|한라산국립공원|비체올린|김창열미술관|비체올린,6,1
20190803,한라산국립공원|롯데리아 제주외도 DT,2,1
20190804,한라산국립공원|14코스,2,2
20190804,탑동 테마거리->중앙로|한라산국립공원|탐라도서관|애월읍2,4,1
20190804,축산진흥원|한라산국립공원,2,1
20190804,한라산국립공원|탐라도서관,2,1
20190804,한라산국립공원|원노형,2,1
20190804,노형우체국|노형근린공원|제주고등학교|노형우체국|제주고등학교|노형근린공원|노형우체국|노형근린공원|한라산국립공원|제주고등학교,10,1
20190804,신비의도로(도깨비도로)|한라산국립공원|신비의도로(도깨비도로)|한라산국립공원,4,1
20190804,절물자연휴양림|효돈동2|절물자연휴양림|한라산국립공원,4,1
20190804,한라산국립공원|롯데마트,2,1
20190804,항몽유적지|한라산국립공원,2,1
20190804,제주고등학교|한라산국립공원|제주도청 2청사|제주도의회,4,1
20190804,화순 곶자왈 생태탐방숲길|한라산국립공원|제주고등학교|연동주민센터|제주특별자치도청|연동주민센터|제주고등학교|연동주민센터|제주특별자치도청,9,1
20190804,신비의도로(도깨비도로)|제주고등학교|한라산국립공원|천지연폭포|칠십리 음식 특화거리|문예회관|거로마을|문예회관,8,1
20190804,한라산국립공원|정방폭포|탑동 테마거리->중앙로,3,1
20190804,용담해안 카페촌거리|한라산국립공원|서귀포서부도서관|정방폭포(주차장)|정방폭포|흑돼지 거리,6,1
20190804,한라산국립공원|서귀포서부도서관|천지동 아랑조을거리|우리은행 서귀포점 인근 공영주차장|서귀포매일올레시장,5,1
20190805,한라산국립공원|중문관광단지,2,1
20190805,흑돼지 거리|은남동|노형오거리|흑돼지 거리|노형근린공원|은남동|노형오거리|은남동|한라산국립공원|흑돼지 거리|노형근린공원|은남동|흑돼지 거리|은남동|노형오거리|은남동|한라산국립공원|은남동|노형근린공원|노형오거리|은남동|노형근린공원|은남동|한라산국립공원,24,1
20190805,교래자연휴양림|한라산국립공원|현대산부인과|서귀포매일올레시장,4,1
20190805,외도구획정리지구|노형동주민센터|한라산국립공원,3,1
20190805,한라산국립공원|우리은행 서귀포점 인근 공영주차장|서귀포매일올레시장|현대산부인과,4,1
20190805,한라산국립공원|제주도청|신비의도로(도깨비도로)|제주고등학교|노형근린공원|롯데마트|제주고등학교|노형근린공원|제주고등학교|롯데마트|노형근린공원|롯데마트,12,1
20190805,한라산국립공원|노형오거리|한라산국립공원|정존마을|월산마을|정존마을|애월읍2|월산마을|애월119센터|정존마을|한담해변|애월도서관|애월읍2|월산마을|애월119센터|정존마을|한담해변|정존마을|애월도서관|애월읍2|정존마을|월산마을|한담해변|정존마을|애월읍2|정존마을|한담해변|애월119센터|정존마을|한담해변|애월도서관|한담해변|월산마을|한담해변|애월119센터|정존마을|한담해변|애월도서관|정존마을|한담해변|월산마을|한담해변|애월119센터|한담해변|애월도서관|곽지과물해변|한담해변|애월119센터|애월도서관|애월119센터|한담해변|노형오거리|원노형|롯데마트,54,1
20190805,한라산국립공원|제주고등학교|협재해변|협재 해변|협재해변|제주고등학교|협재 해변|송악산|사계 해변|사계 해안도로|산방산|사계 해안도로|마라해양도립공원|송악산|마라해양도립공원|발자국화석지관리사무소|사계 해안도로|사계 해변|산방산,19,1
20190805,동산교|외도부영 2차 아파트|동산교|제주고등학교|한라산국립공원|정존마을|한라병원|노형오거리|정존마을|동산교|한국방송통신대학|우령이 마을|롯데리아 제주외도 DT,13,1
20190805,남녕고등학교(하와이오피스텔)|노형오거리|남녕고등학교(하와이오피스텔)|한라산국립공원|이도주공아파트|삼성혈-3|삼성혈 문화의 거리|시민회관,8,1
20190805,한라산국립공원|헬로키티 아일랜드|자치경찰단 서귀포지역경찰대|솔동산 문화의 거리|월드컵경기장 대도로변 입구 매표소|제주월드컵경기장 서귀포버스터미널|중문고등학교(북),7,1
20190805,한라산국립공원|방일리공원,2,1
20190806,한라병원|한라산국립공원|제주종합경기장,3,1
20190806,한라산국립공원|중문랜드|8코스|약천사|8코스|주상절리대|약천사|서귀포여자고등학교(북)|천지연폭포|칠십리 음식 특화거리|돈내코|함덕 서우봉 해변,12,1
20190806,한라산국립공원|표선 해비치 해변,2,1
20190806,함덕 서우봉 해변|함덕리(3구)(북)|함덕 서우봉 해변|조천읍3|한국병원|구좌읍1|신비의도로(도깨비도로)|구좌읍1|제주러브랜드|신비의도로(도깨비도로)|한라산국립공원|중문관광단지입구 (남)|안덕면5|안덕면4|천제연폭포|GS25 중문사거리점,16,1
20190806,이도주공아파트|관음사 휴게소|한라산국립공원|제주서커스월드,4,1
20190806,제주고등학교|한라산국립공원|노형동주민센터,3,1
20190806,신비의도로(도깨비도로)|한라산국립공원|천지연폭포|성산일출해양도립공원|함덕 서우봉 해변|함덕농협지소(북),6,1
20190806,한라산국립공원|제주대학교교육대학,2,1
20190806,삼무공원|한라산국립공원|삼무공원|한라산국립공원,4,1
20190807,삼무공원|한라산국립공원|연동주민센터|제주특별자치도청|제주도의회|연동주민센터|제주도의회,7,1
20190807,한라산국립공원|방일리공원,2,1
20190807,한라산국립공원|천지연폭포,2,1
20190807,노형오거리|남녕고등학교(하와이오피스텔)|노형오거리|한라산국립공원,4,1
20190807,롯데리아 제주외도 DT|일우 한란 아파트|롯데리아 제주외도 DT|외도동주민센터|롯데리아 제주외도 DT|일우 한란 아파트|외도동주민센터|남녕고등학교(하와이오피스텔)|한라산국립공원|노형오거리|롯데리아 제주외도 DT,11,1
20190807,신비의도로(도깨비도로)|한라산국립공원|세화 해변|애월체육관|세화 해변|올인하우스|서부두 명품회집거리|한국방송통신대학|흑돼지 거리|탑동 테마거리->중앙로|한국방송통신대학|탑동 테마거리->중앙로|탑동입구|영화의거리->산지천|탑동 테마거리->중앙로|서부두 명품회집거리,16,1
20190807,제주세계자연유산센터|한라산국립공원,2,1
20190807,천지연폭포|주상절리대|8코스|주상절리대|아프리카박물관|한라산국립공원|김녕미로공원-2,7,1
20190807,한라산국립공원|제주고등학교|제주도청,3,1
20190807,한라산국립공원|중문랜드|8코스|주상절리대|외돌개|새연교안내소|새연교|천지연폭포|칠성로 쇼핑거리|흑돼지 거리,10,1
20190807,한라산국립공원|이도주공아파트|화북주공아파트,3,1
20190807,한라산국립공원|천지연폭포,2,1
