oid,collection_dt,longitude,latitude,time,Diff,address
46100025,20210807103200,126.49796,33.518425,2021-08-07 10:32:00,1209,"제주카페거리(어영마을), 제주시, 제주특별자치도, 63114, 대한민국"
46100025,20210807120230,126.415192,33.245735,2021-08-07 12:02:30,11987,"퍼시픽랜드 1주차장, 154-17, 중문관광로, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100025,20210807153730,126.500105,33.488141,2021-08-07 15:37:30,5254,"문송1길, 제주시, 제주특별자치도, 63122, 대한민국"
46100025,20210807180530,126.414921,33.245206,2021-08-07 18:05:30,3420,"퍼시픽랜드 1주차장, 154-17, 중문관광로, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100025,20210807193200,126.52027,33.25504,2021-08-07 19:32:00,570324,"서호동, 서귀포시, 제주특별자치도, 63566, 대한민국"
46100025,20210814100530,126.497475,33.492826,2021-08-14 10:05:30,2180,"귀아랑길, 오라삼동, 제주시, 제주특별자치도, 63122, 대한민국"
46100025,20210814113500,126.483658,33.483535,2021-08-14 11:35:00,8270,"원노형6길, 노형동, 제주시, 제주특별자치도, 63082, 대한민국"
46100025,20210814143400,126.28785,33.304517,2021-08-14 14:34:00,10249,"글로벌에듀로, 제주영어교육도시개발지구, Canons Town, 구억리, 서귀포시, 제주특별자치도, 63517, 대한민국"
46100025,20210814184600,126.344955,33.395822,2021-08-14 18:46:00,4506,"아르떼뮤지엄 ARTE MUSEUM, 478, 금가로, 상가리, 제주시, 제주특별자치도, 63038, 대한민국"
46100025,20210814205130,126.414622,33.485654,2021-08-14 20:51:30,4805,"하귀동남1길, 하귀1리, 제주시, 제주특별자치도, 63051, 대한민국"
46100025,20210814222000,126.419166,33.489606,2021-08-14 22:20:00,565200,"일주서로, 하귀1리, 제주시, 제주특별자치도, 63069, 대한민국"
46100025,20210821121100,126.251675,33.402966,2021-08-21 12:11:00,3704,"옹포리, 한림로, 옹포리, 제주시, 제주특별자치도, 63011, 대한민국"
46100025,20210821142730,126.310406,33.463196,2021-08-21 14:27:30,5066,"애월로, 애월리, 제주시, 제주특별자치도, 63043, 대한민국"
46100025,20210821155630,126.308802,33.453342,2021-08-21 15:56:30,13988,"일주서로, 곽지리, 제주시, 제주특별자치도, 63034, 대한민국"
46100025,20210821203000,126.528841,33.512756,2021-08-21 20:30:00,1222,"동문로6길, 일도일동, 제주시, 제주특별자치도, 63192, 대한민국"
46100025,20210821213500,126.844784,33.322721,2021-08-21 21:35:00,565380,"제주해비치리조트호텔, 민속해안로, 당포마을, 세화리, 서귀포시, 제주특별자치도, 63629, 대한민국"
46100025,20210828105930,126.437773,33.263757,2021-08-28 10:59:30,4153,"회수동, 서귀포시, 제주특별자치도, 63551, 대한민국"
46100025,20210828131930,126.30968,33.464555,2021-08-28 13:19:30,5493,"애월리, 제주시, 제주특별자치도, 63043, 대한민국"
46100025,20210828151930,126.348718,33.472867,2021-08-28 15:19:30,1368,"남또리횟집, 384, 애월해안로, 애월읍, 제주시, 제주특별자치도, 63046, 대한민국"
4610004e,20210807102330,126.514425,33.236749,2021-08-07 10:23:30,6372,"(주)해녀마을 해녀횟집 (Haenyeo Village Haenyeo Fish Restaurant), 법환로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
4610004e,20210807124430,126.333354,33.252046,2021-08-07 12:44:30,2405,"족도, 69, 화순서서로64번길, 화순리, 안덕면, 서귀포시, 제주특별자치도, 63529, 대한민국"
4610004e,20210807133730,126.254998,33.223716,2021-08-07 13:37:30,3160,"묵찌빠분식, 63, 하모이삼로, 대정읍, 서귀포시, 제주특별자치도, 63510, 대한민국"
4610004e,20210807153130,126.520588,33.514572,2021-08-07 15:31:30,7440,"호텔띠아모, 무근성7길, 탑동, 제주시, 제주특별자치도, 63166, 대한민국"
4610004e,20210807181900,126.486321,33.503006,2021-08-07 18:19:00,569057,"다호북길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
4610004e,20210814084330,126.486296,33.502954,2021-08-14 08:43:30,5220,"다호북길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
4610004e,20210814111200,126.308992,33.455999,2021-08-14 11:12:00,2885,"일주서로, 곽지리, 제주시, 제주특별자치도, 63034, 대한민국"
4610004e,20210814122200,126.239921,33.393196,2021-08-14 12:22:00,3259,"한림로, 옹포리, 제주시, 제주특별자치도, 63011, 대한민국"
4610004e,20210814145630,126.811826,33.4911,2021-08-14 14:56:30,4206,"비자림 청소년 수련원, 비자숲길, 구좌읍, 제주시, 제주특별자치도, 대한민국"
4610004e,20210814171530,126.528044,33.512169,2021-08-14 17:15:30,3034,"중앙로13길, 일도일동, 제주시, 제주특별자치도, 63192, 대한민국"
4610004e,20210814193330,126.518217,33.252416,2021-08-14 19:33:30,574546,"공무원연금공단 제주지부, 서호중로, 서호동, 서귀포시, 제주특별자치도, 63566, 대한민국"
4610004e,20210821111600,126.22924,33.239164,2021-08-21 11:16:00,2397,"동수식당, 16-2, 일과대수로27번길, 대정읍, 서귀포시, 제주특별자치도, 63506, 대한민국"
4610004e,20210821145730,126.837092,33.524616,2021-08-21 14:57:30,2779,"비자림로, 평대리, 제주시, 제주특별자치도, 63359, 대한민국"
4610004e,20210821155330,126.873611,33.528197,2021-08-21 15:53:30,11070,"하도리, 제주시, 제주특별자치도, 63362, 대한민국"
4610004e,20210821191100,126.853539,33.525041,2021-08-21 19:11:00,1728,"농협하나로마트, 세평항로, 제주시, 제주특별자치도, 63360, 대한민국"
4610004e,20210821194930,126.873553,33.528157,2021-08-21 19:49:30,571273,"하도리, 제주시, 제주특별자치도, 63362, 대한민국"
4610004e,20210828105000,126.43151,33.251099,2021-08-28 10:50:00,1768,"대포칼제비, 338, 중문관광로, 서귀포시, 제주특별자치도, 63540, 대한민국"
4610004e,20210828115000,126.441598,33.456331,2021-08-28 11:50:00,6487,"광령리, 제주시, 제주특별자치도, 63062, 대한민국"
4610004e,20210828151030,126.486305,33.502209,2021-08-28 15:10:30,1349,"도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
4610004e,20210828170000,126.803957,33.557113,2021-08-28 17:00:00,1753,"해맞이해안로, 월정리, 제주시, 제주특별자치도, 63358, 대한민국"
4610004e,20210828173730,126.839925,33.536955,2021-08-28 17:37:30,1662,"해맞이해안로, 구좌읍, 제주시, 제주특별자치도, 63359, 대한민국"
4610004e,20210828180700,126.841119,33.537594,2021-08-28 18:07:00,4725,"港口, 해맞이해안로, 구좌읍, 제주시, 제주특별자치도, 63359, 대한민국"
4610004e,20210828194830,126.856317,33.52994,2021-08-28 19:48:30,3408,"港口, 해맞이해안로, 구좌읍, 제주시, 제주특별자치도, 63361, 대한민국"
4610004e,20210828205200,126.866068,33.528706,2021-08-28 20:52:00,6546,"면수동해녀탈의장, Ollegil 21, 하도리, 제주시, 제주특별자치도, 63362, 대한민국"
4610004e,20210829011100,126.618906,33.24616,2021-08-29 01:11:00,2641,"Ollegil 6, 서귀포시, 제주특별자치도, 63600, 대한민국"
4610004e,20210829021330,126.618574,33.244634,2021-08-29 02:13:30,3004,"보목포로, 서귀포시, 제주특별자치도, 63600, 대한민국"
4610004e,20210829030600,126.621565,33.249598,2021-08-29 03:06:00,5507,"올레길6 (Ollegil 6), 서귀포시, 제주특별자치도, 63600, 대한민국"
46100082,20210807182830,126.544693,33.480695,2021-08-07 18:28:30,570064,"중앙로, 아라일동, 제주시, 제주특별자치도, 63248, 대한민국"
46100082,20210814085430,126.529065,33.491485,2021-08-14 08:54:30,22560,"도남로15길, 도남동, 제주시, 제주특별자치도, 63205, 대한민국"
46100085,20210821105454,127.1528371,37.360881,2021-08-21 10:54:54,1491,"푸주옥, 신현로, 태재, 신현동, 광주시, 경기도, 12771, 대한민국"
4610008c,20210814111300,126.997629,37.259543,2021-08-14 11:13:00,24510,"세화로, 평동, 권선구, 수원시, 경기도, 16595, 대한민국"
4610008c,20210814180430,126.998062,37.258426,2021-08-14 18:04:30,5760,"매송고색로, 평동, 권선구, 수원시, 경기도, 16599, 대한민국"
461000a0,20210807101000,126.852715,33.523475,2021-08-07 10:10:00,10470,"구좌로, 하도리, 제주시, 제주특별자치도, 63361, 대한민국"
461000a0,20210807134230,126.547152,33.241224,2021-08-07 13:42:30,6174,"남성로, 서귀포시, 제주특별자치도, 63571, 대한민국"
461000a0,20210807154730,126.566529,33.251569,2021-08-07 15:47:30,5073,"서귀동, 서귀포시, 제주특별자치도, 63590, 대한민국"
461000a0,20210807172500,126.563447,33.250293,2021-08-07 17:25:00,3360,"서귀포매일올레시장, 중앙로54번길, 서귀동, 서귀포시, 제주특별자치도, 63590, 대한민국"
461000a0,20210807182930,126.566486,33.251473,2021-08-07 18:29:30,573330,"서귀동, 서귀포시, 제주특별자치도, 63590, 대한민국"
461000a0,20210814103330,126.802988,33.557168,2021-08-14 10:33:30,3286,"해맞이해안로, 월정리, 제주시, 제주특별자치도, 63358, 대한민국"
461000a0,20210814114100,126.803982,33.556959,2021-08-14 11:41:00,1488,"해난디아장 카페, 564, 해맞이해안로, 월정리, 제주시, 제주특별자치도, 63358, 대한민국"
461000a0,20210814125230,126.928066,33.431729,2021-08-14 12:52:30,7453,"신양리, 서귀포시, 제주특별자치도, 63641, 대한민국"
461000a0,20210814162430,126.590786,33.244337,2021-08-14 16:24:30,7530,"보목로64번길, 서귀포시, 제주특별자치도, 63596, 대한민국"
461000a0,20210814184330,126.548139,33.241654,2021-08-14 18:43:30,3252,"남성로, 서귀포시, 제주특별자치도, 63571, 대한민국"
461000a0,20210814194900,126.560597,33.247194,2021-08-14 19:49:00,7045,"태평로 353번길, 서귀동, 서귀포시, 제주특별자치도, 63592, 대한민국"
461000a0,20210814215300,126.590786,33.244457,2021-08-14 21:53:00,561344,"보목로64번길, 서귀포시, 제주특별자치도, 63596, 대한민국"
461000a0,20210821101900,126.455412,33.493169,2021-08-21 10:19:00,606990,"이호이동, 현사마을, 제주시, 제주특별자치도, 63108, 대한민국"
