oid,collection_dt,longitude,latitude,address
46101334,20210814162933001,126.59572,33.489828,"번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162933017,126.492056,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
461002e3,20210814162933329,126.805983,33.374686,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46100734,20210814162933423,126.412179,33.251136,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162933486,126.412179,33.251136,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162933642,126.343492,33.304437,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162933704,126.493908,33.235567,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
46100283,20210814162933798,126.66035,33.469683,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162933814,126.66035,33.469683,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002d5,20210814162933908,126.483351,33.474287,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461006da,20210814162933939,126.201471,33.365585,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
461002db,20210814162933955,126.350897,33.356568,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
46101334,20210814162934017,126.595833,33.489756,"번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162934033,126.492056,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
46101334,20210814162934033,126.595833,33.489756,"번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461002e3,20210814162934345,126.805873,33.374792,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46100fe4,20210814162934377,126.447089,33.269458,"보름숲, 255, 1100로, 회수동, 서귀포시, 제주특별자치도, 63551, 대한민국"
46100734,20210814162934455,126.412168,33.251115,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162934533,126.412168,33.251115,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162934658,126.343606,33.304234,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
46100474,20210814162934673,126.511055,33.5147006,"용두암길, 용담일동, 제주시, 제주특별자치도, 63153, 대한민국"
461012cf,20210814162934705,126.493804,33.235555,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
46100283,20210814162934845,126.660515,33.46969,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162934861,126.660515,33.46969,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002d5,20210814162934924,126.483352,33.474287,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461006da,20210814162934955,126.201554,33.36564,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
461002db,20210814162934970,126.351028,33.35646,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
46101334,20210814162935033,126.595957,33.489679,"번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162935049,126.492056,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
46101334,20210814162935049,126.595957,33.489679,"번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461002e3,20210814162935346,126.805753,33.37491,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46100734,20210814162935471,126.412158,33.251094,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162935549,126.412158,33.251094,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162935674,126.343696,33.304075,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162935736,126.4937,33.235541,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
46100283,20210814162935877,126.660665,33.469697,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
