순위,호텔명,검색건수
1,그랜드하얏트제주,"96,070"
2,신라호텔제주,"71,597"
3,롯데호텔제주점,"58,316"
4,해비치호텔,"52,836"
5,메종글래드제주호텔,"50,226"
6,그랜드조선제주,"45,399"
7,제주부영호텔&리조트,"41,580"
8,라마다프라자제주호텔,"41,339"
9,호텔더본제주,"38,907"
10,히든클리프호텔앤네이쳐,"34,919"
11,신라스테이제주,"32,103"
12,서귀포칼호텔,"30,402"
13,롯데시티호텔제주,"29,499"
14,호텔리젠트마린,"28,415"
15,라마다제주시티홀호텔,"27,373"
16,베스트웨스턴제주호텔,"27,191"
17,호텔휘슬락,"26,818"
18,호텔난타,"25,194"
19,글로스터호텔제주,"23,179"
20,더베스트제주성산,"21,900"
21,호텔시리우스제주,"21,861"
22,골든데이지호텔제주서귀포오션,"21,747"
23,제주오션팰리스호텔,"21,494"
24,토스카나호텔제주,"19,803"
25,오션스위츠제주호텔,"19,798"
26,브라운스위트제주호텔앤리조트,"19,181"
27,WE호텔,"18,242"
28,코업시티호텔하버뷰,"17,805"
29,더그랜드섬오름,"17,418"
30,그라벨호텔제주,"17,350"
31,퍼스트70호텔,"16,979"
32,신신호텔천지연점,"16,931"
33,골든튤립제주성산호텔,"16,817"
34,서귀포JS호텔,"16,728"
35,신신호텔제주월드컵점,"16,209"
36,플레이스캠프제주,"15,989"
37,유탑유블레스호텔제주,"15,500"
38,파크선샤인제주,"15,207"
39,다인오세아노호텔,"14,878"
40,탐라스테이호텔제주,"14,806"
41,노블피아호텔,"14,138"
42,이스턴호텔제주,"14,064"
43,신신호텔서귀포점,"13,550"
44,아시아제주노형호텔,"13,486"
45,코델리아S호텔,"13,437"
46,베니키아호텔제주,"13,364"
47,호텔위드제주,"13,215"
48,호텔브릿지서귀포,"13,149"
49,디아일랜드블루호텔,"12,958"
50,호텔윈스카이,"12,208"
51,제주센트럴시티호텔,"12,089"
52,호텔에어시티제주,"11,974"
53,스위트호텔제주,"11,825"
54,코업시티호텔성산,"11,768"
55,라마다바이윈덤제주더함덕호텔,"11,743"
56,오리엔탈호텔제주,"11,720"
57,빠레브호텔,"11,554"
58,제주항공우주호텔,"11,550"
59,엠스테이호텔제주,"11,521"
60,제주호텔더엠,"11,213"
61,호텔케니서귀포,"11,188"
62,카사로마호텔,"11,091"
63,벤티모호텔앤레지던스 제주,"10,771"
64,타마라제주,"10,648"
65,신신호텔제주공항점,"10,589"
66,켄싱턴리조트제주중문,"10,511"
67,에벤에셀호텔,"10,363"
68,헤이서귀포,"10,257"
69,디아넥스,"10,144"
70,제주칼호텔,"10,141"
71,웨스턴그레이스호텔제주,"10,103"
72,스위트메이서귀포호텔,"9,866"
73,호텔샬롬제주,"9,667"
74,브릿지레지던스호텔,"9,534"
75,씨에스호텔&리조트,"9,450"
76,아스타호텔,"9,330"
77,호텔윈스토리,"9,254"
78,호텔더원,"9,126"
79,비스타케이호텔월드컵,"8,936"
80,포도호텔,"8,844"
81,유니호텔,"8,822"
82,스타즈호텔제주로베로점,"8,045"
83,그랜드메르호텔제주,"7,897"
84,팜파스호텔제주,"7,850"
85,제주노블레스관광호텔,"7,558"
86,서귀포호텔,"7,430"
87,더스테이센추리호텔,"7,181"
88,호텔레오,"7,143"
89,샐리스제주호텔,"7,016"
90,블룸호텔제주,"6,996"
91,블루하와이호텔,"6,877"
92,그랜드밀리언스호텔서귀포,"6,821"
93,제주펄관광호텔,"6,697"
94,빌라드애월호텔,"6,534"
95,유어스호텔,"6,233"
96,에프케이알레그리아호텔,"6,177"
97,제주해군호텔,"6,005"
98,리치호텔,"5,951"
99,호텔스위트캐슬,"5,950"
100,씨앤호텔,"5,746"
