순위,호텔명,검색건수,Latitude,Longitude
1,그랜드하얏트제주,96070,33.4853707,126.4815713
2,신라호텔제주,71597,33.2475582,126.4081161
3,롯데호텔제주점,58316,33.2484468,126.4106058
4,해비치호텔,52836,33.323125,126.8447251
5,메종글래드제주호텔,50226,33.4851246,126.4886305
6,그랜드조선제주,45399,33.2524795,126.4080501
7,제주부영호텔&리조트,41580,33.2423055,126.4232514
8,라마다프라자제주호텔,41339,33.518851,126.5180058
9,호텔더본제주,38907,33.2594337,126.4063059
10,히든클리프호텔앤네이쳐,34919,33.2548845,126.4023408
11,신라스테이제주,32103,33.4854889,126.4910047
12,서귀포칼호텔,30402,33.2465497,126.5818708
13,롯데시티호텔제주,29499,33.4905955,126.4864277
14,호텔리젠트마린,28415,33.5176293,126.5267886
15,라마다제주시티홀호텔,27373,33.4934657,126.5343138
16,베스트웨스턴제주호텔,27191,33.4877957,126.4818957
17,호텔휘슬락,26818,33.5173509,126.5278
18,호텔난타,25194,33.4458341,126.5478944
19,글로스터호텔제주,23179,33.4900625,126.4926875
20,더베스트제주성산,21900,33.4491938,126.9165127
21,호텔시리우스제주,21861,33.4933987,126.4909571
22,골든데이지호텔제주서귀포오션,21747,33.2492258,126.567572
23,제주오션팰리스호텔,21494,33.2460441,126.5623037
24,토스카나호텔제주,19803,33.2655138,126.4841241
25,오션스위츠제주호텔,19798,33.5182319,126.5231737
26,브라운스위트제주호텔앤리조트,19181,33.4520237,126.9144746
27,WE호텔,18242,33.2861399,126.4442086
28,코업시티호텔하버뷰,17805,33.2744833,126.6590002
29,더그랜드섬오름,17418,33.2328352,126.5105109
30,그라벨호텔제주,17350,33.492444,126.4286588
31,퍼스트70호텔,16979,33.2475894,126.5668712
32,신신호텔천지연점,16931,33.2495146,126.5576159
33,골든튤립제주성산호텔,16817,33.4479486,126.9162124
34,서귀포JS호텔,16728,33.2513598,126.510362
35,신신호텔제주월드컵점,16209,33.2438391,126.5060017
36,플레이스캠프제주,15989,33.4500452,126.9184399
37,유탑유블레스호텔제주,15500,33.5423291,126.6661651
38,파크선샤인제주,15207,33.2434345,126.553327
39,다인오세아노호텔,14878,33.4725009,126.3504542
40,탐라스테이호텔제주,14806,33.4867872,126.3918034
41,노블피아호텔,14138,33.2473508,126.5668802
42,이스턴호텔제주,14064,33.2543538,126.5201647
43,신신호텔서귀포점,13550,33.245547,126.562571
44,아시아제주노형호텔,13486,33.4861222,126.4782054
45,코델리아S호텔,13437,33.4549689,126.9104055
46,베니키아호텔제주,13364,33.477713,126.362091
47,호텔위드제주,13215,33.4857667,126.4837872
48,호텔브릿지서귀포,13149,33.2455895,126.5667011
49,디아일랜드블루호텔,12958,33.245851,126.5658459
50,호텔윈스카이,12208,37.6484619,126.866783
51,제주센트럴시티호텔,12089,33.4857371,126.4874986
52,호텔에어시티제주,11974,33.4905955,126.4864277
53,스위트호텔제주,11825,33.2493324,126.4083941
54,코업시티호텔성산,11768,33.4659601,126.9319623
55,라마다바이윈덤제주더함덕호텔,11743,33.5432779,126.6598387
56,오리엔탈호텔제주,11720,33.5172617,126.5199138
57,빠레브호텔,11554,33.2523353,126.5066913
58,제주항공우주호텔,11550,33.3021761,126.2944933
59,엠스테이호텔제주,11521,33.2465959,126.5606779
60,제주호텔더엠,11213,33.246885,126.5606604
61,호텔케니서귀포,11188,33.2502259,126.5651306
62,카사로마호텔,11091,30.198561,-85.84594
63,벤티모호텔앤레지던스 제주,10771,33.4934577,126.4937634
64,타마라제주,10648,33.4996213,126.5311884
65,신신호텔제주공항점,10589,33.4922698,126.4906496
66,켄싱턴리조트제주중문,10511,33.2475088,126.4127142
67,에벤에셀호텔,10363,33.5423886,126.6669243
68,헤이서귀포,10257,33.2462261,126.5600906
69,디아넥스,10144,33.303058,126.3928441
70,제주칼호텔,10141,33.5057977,126.5262932
71,웨스턴그레이스호텔제주,10103,33.2524649,126.5072896
72,스위트메이서귀포호텔,9866,33.2524649,126.5072896
73,호텔샬롬제주,9667,33.501932,126.532685
74,브릿지레지던스호텔,9534,33.251492,126.5100649
76,아스타호텔,9330,33.5007962,126.5200513
77,호텔윈스토리,9254,33.2477548,126.5577458
78,호텔더원,9126,33.4827607,126.4913352
80,포도호텔,8844,33.3177778,126.3875
82,스타즈호텔제주로베로점,8045,33.5128159,126.5219322
83,그랜드메르호텔제주,7897,33.2396011,126.385934
84,팜파스호텔제주,7850,33.5115783,126.4847587
85,제주노블레스관광호텔,7558,33.5014564,126.5034049
86,서귀포호텔,7430,33.2541205,126.560076
87,더스테이센추리호텔,7181,33.4848387,126.4089853
88,호텔레오,7143,33.4897519,126.4882605
89,샐리스제주호텔,7016,33.4648666,126.3414966
90,블룸호텔제주,6996,33.2499268,126.4082026
92,그랜드밀리언스호텔서귀포,6821,33.2545606,126.5200939
93,제주펄관광호텔,6697,33.4912935,126.4896228
94,빌라드애월호텔,6534,33.4772794,126.3591221
95,유어스호텔,6233,33.249918,126.423716
97,제주해군호텔,6005,33.4589894,126.4487349
98,리치호텔,5951,37.676167,126.74918
99,호텔스위트캐슬,5950,33.5441569,126.6569903
100,씨앤호텔,5746,33.4936717,126.447018
